,Title,Genres,Ratings,Director
9207,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
9208,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
9209,WandaVision,"Action, Comedy, Drama",7.9,
9210,Loki,"Action, Adventure, Fantasy",8.2,
9211,Aspirants,Drama,9.2,
9212,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
9213,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
9214,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
9215,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
9216,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
9217,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
9218,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
9219,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
9220,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
9221,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
9222,Arcane,"Animation, Action, Adventure",9.0,
9223,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
9224,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
9225,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
9226,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
9227,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
9228,Hawkeye,"Action, Adventure, Crime",7.5,
9229,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
9230,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
9231,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
9232,Mare of Easttown,"Crime, Drama, Mystery",8.5,
9233,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
9234,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
9235,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
9236,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
9237,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
9238,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
9239,Invincible,"Animation, Action, Adventure",8.7,
9240,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
9241,CODA,"Comedy, Drama, Music",8.0,Sian Heder
