,Title,Genres,Ratings,Director
8770,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
8771,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
8772,Arcane,"Animation, Action, Adventure",9.0,
8773,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
8774,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
8775,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
8776,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
8777,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
8778,Hawkeye,"Action, Adventure, Crime",7.5,
8779,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
8780,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
8781,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
8782,Mare of Easttown,"Crime, Drama, Mystery",8.5,
8783,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
8784,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
